id,year,Hispanic,Female,Grades,tobacco,alcohol,mj,sibsmoke,sibdrink,adultdrink,adultsmoke,year_value,rooms,nusing,present,sport_basket,sport_soccer,sport_run,school,has_sib,toa_smoke,toa_drink,toa_mj,exposure_smoke,exposure_count,exposure_smoke_se,exposure_female,exposure_2steps,exposure_indegree,exposure_density,exposure_team,exposure_simmelian,indegree,outdegree,ego_density,exposure_perceived_count,exposure_perceived
114-0430,2,0,1,4.5,0,0,0,0,0,0,0,2011,3,0,1,,,,114,1,,,,0,0,0.00455596321786179,0,0,0,0,0,0,3,6,0.380952380952381,0,0
114-0430,3,0,1,4.5,0,0,0,0,0,0,1,2012,3,0,1,,,,114,1,,,,0,0,0.851118206692722,0,0.02,0,0,0,0,4,5,0.433333333333333,0,0
114-0430,4,0,1,4.5,0,0,0,0,0,0,1,2013,3,0,1,,,,114,1,,,,0,0,0.290553743855186,0,0,0,0,0,0,2,2,0.333333333333333,0,0
114-0431,1,,1,3.5,1,1,0,0,0,0,0,2010,3,3,1,,1,1,114,1,1,1,2,,,,,,,,,,2,5,0.4,3,
114-0431,2,,1,3.5,1,1,1,1,0,0,0,2011,4,7,1,,1,1,114,1,1,1,2,0.4,2,0.00494446253877913,0.25,0.4375,0.478260869565217,0.586206896551724,1,0,3,5,0.466666666666667,7,0.6
114-0431,3,,1,3.5,1,1,1,1,,,,2012,4,0,,,,,114,1,1,1,2,0.4,2,0.343497931488618,0.25,0.275862068965517,0.4375,0.449031500684798,0,0,6,0,0,0,1
114-0431,4,,1,3.5,1,1,1,1,,,,2013,4,0,,,,,114,1,1,1,2,0,0,0.185045904804952,0,0,0,0,0,0,3,0,0,0,0
114-0432,1,,0,4.5,0,0,0,0,0,0,1,2010,3,0,1,,,,114,1,,,,,,,,,,,,,3,1,0.5,0,
114-0432,2,,0,4.5,0,0,0,0,0,0,0,2011,4,0,1,,,,114,1,,,,0,0,0.0941671375675781,0,0,0,0,0,0,1,5,0.2,0,0
114-0432,3,,0,4.5,,,,0,,,,2012,4,0,,,,,114,1,,,,0,0,0.104598440835783,0,0.0416666666666667,0,0,0,0,0,0,0,0,0
